From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
CYP2D7	A0A087X1C5	reviewed	CP2D7_HUMAN	Cytochrome P450 2D7 (EC 1.14.14.1)	CYP2D7	Homo sapiens (Human)
FAM237A	A0A1B0GTK4	reviewed	F237A_HUMAN	Protein FAM237A	FAM237A	Homo sapiens (Human)
TAF11L5	A0A1W2PP81	reviewed	TFKL5_HUMAN	TATA-box-binding protein-associated factor 11-like protein 5	TAF11L5	Homo sapiens (Human)
TAF11L4	A0A1W2PPE2	reviewed	TFKL4_HUMAN	TATA-box-binding protein-associated factor 11-like protein 4	TAF11L4	Homo sapiens (Human)
TAF11L13	A0A1W2PPH5	reviewed	TFLM_HUMAN	TATA-box-binding protein-associated factor 11-like protein 13	TAF11L13	Homo sapiens (Human)
TAF11L14	A0A1W2PPL8	reviewed	TFKLN_HUMAN	TATA-box-binding protein-associated factor 11-like protein 14	TAF11L14	Homo sapiens (Human)
TAF11L12	A0A1W2PPW3	reviewed	TFKLL_HUMAN	TATA-box-binding protein-associated factor 11-like protein 12	TAF11L12	Homo sapiens (Human)
TAF11L11	A0A1W2PQ09	reviewed	TFKLK_HUMAN	TATA-box-binding protein-associated factor 11-like protein 11	TAF11L11	Homo sapiens (Human)
TAF11L9	A0A1W2PR64	reviewed	TFKL9_HUMAN	TATA-box-binding protein-associated factor 11-like protein 9	TAF11L9	Homo sapiens (Human)
TAF11L3	A0A1W2PRV1	reviewed	TFKL3_HUMAN	TATA-box-binding protein-associated factor 11-like protein 3	TAF11L3	Homo sapiens (Human)
LINC-PINT	A0A455ZAR2	reviewed	PNT87_HUMAN	Transcriptional regulator PINT87aa	LINC-PINT	Homo sapiens (Human)
SMIM45	A0A590UK83	reviewed	SMI45_HUMAN	Small integral membrane protein 45	SMIM45 LINC00634	Homo sapiens (Human)
FEZF1	A0PJY2	reviewed	FEZF1_HUMAN	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	Homo sapiens (Human)
FAM170A	A1A519	reviewed	F170A_HUMAN	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	FAM170A ZNFD	Homo sapiens (Human)
FAM168B	A1KXE4	reviewed	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	FAM168B KIAA0280L MANI	Homo sapiens (Human)
MEX3A	A1L020	reviewed	MEX3A_HUMAN	RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)	MEX3A RKHD4	Homo sapiens (Human)
ZNF320	A2RRD8	reviewed	ZN320_HUMAN	Zinc finger protein 320	ZNF320	Homo sapiens (Human)
CFAP69	A5D8W1	reviewed	CFA69_HUMAN	Cilia- and flagella-associated protein 69	CFAP69 C7orf63	Homo sapiens (Human)
PSD	A5PKW4	reviewed	PSD1_HUMAN	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	Homo sapiens (Human)
KRBA1	A5PL33	reviewed	KRBA1_HUMAN	Protein KRBA1	KRBA1 KIAA1862	Homo sapiens (Human)
RASSF10	A6NK89	reviewed	RASFA_HUMAN	Ras association domain-containing protein 10	RASSF10	Homo sapiens (Human)
TAF11L2	A6NLC8	reviewed	TFKL2_HUMAN	TATA-box binding protein associated factor 11 like protein 2	TAF11L2	Homo sapiens (Human)
SIGLEC16	A6NMB1	reviewed	SIG16_HUMAN	Sialic acid-binding Ig-like lectin 16 (Siglec-16) (Siglec-P16)	SIGLEC16 SIGLECP16	Homo sapiens (Human)
SLC38A8	A6NNN8	reviewed	S38A8_HUMAN	Solute carrier family 38 member 8 (Amino acid transporter SLC38A8)	SLC38A8	Homo sapiens (Human)
YJEFN3	A6XGL0	reviewed	YJEN3_HUMAN	YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3) (ApoA-I-binding protein 2)	YJEFN3 AIBP2	Homo sapiens (Human)
MYH7B	A7E2Y1	reviewed	MYH7B_HUMAN	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)	MYH7B KIAA1512	Homo sapiens (Human)
TBKBP1	A7MCY6	reviewed	TBKB1_HUMAN	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	TBKBP1 KIAA0775 SINTBAD	Homo sapiens (Human)
NEURL1B	A8MQ27	reviewed	NEU1B_HUMAN	E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)	NEURL1B NEURL3	Homo sapiens (Human)
GOLGA8B	A8MQT2	reviewed	GOG8B_HUMAN	Golgin subfamily A member 8B (Golgin-67)	GOLGA8B	Homo sapiens (Human)
STRA13	A8MT69	reviewed	CENPX_HUMAN	Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)	CENPX FAAP10 MHF2 STRA13	Homo sapiens (Human)
GRXCR1	A8MXD5	reviewed	GRCR1_HUMAN	Glutaredoxin domain-containing cysteine-rich protein 1	GRXCR1 DFNB25	Homo sapiens (Human)
MYO9A	B2RTY4	reviewed	MYO9A_HUMAN	Unconventional myosin-IXa (Unconventional myosin-9a)	MYO9A MYR7	Homo sapiens (Human)
IQCJ-SCHIP1	B3KU38	reviewed	IQIP1_HUMAN	IQCJ-SCHIP1 readthrough transcript protein	IQCJ-SCHIP1	Homo sapiens (Human)
MLDHR	C0HLV8	reviewed	MP31_HUMAN	PTEN upstream open reading frame MP31 (Micropeptide 31) (Mitochondrial lactate dehydrogenase regulator)	MLDHR MP31	Homo sapiens (Human)
C4orf54	D6RIA3	reviewed	CD054_HUMAN	Uncharacterized protein C4orf54 (Familial obliterative portal venopathy)	C4orf54 FOPV	Homo sapiens (Human)
