Filename,Folder,Format,UniProt_ID,PDB_ID,Has_Match_In_Other_Folder
clean_Q92185.pdb,AlphaFold,PDB,clean_Q92185,N/A,False
clean_Q9HCQ5.pdb,AlphaFold,PDB,clean_Q9HCQ5,N/A,False
clean_Q9BQQ7.pdb,AlphaFold,PDB,clean_Q9BQQ7,N/A,False
clean_P54259.pdb,AlphaFold,PDB,clean_P54259,N/A,False
clean_Q9ULP9.pdb,AlphaFold,PDB,clean_Q9ULP9,N/A,False
clean_Q8WVR3.pdb,AlphaFold,PDB,clean_Q8WVR3,N/A,False
clean_Q9UIR0.pdb,AlphaFold,PDB,clean_Q9UIR0,N/A,False
clean_Q969Z0.pdb,AlphaFold,PDB,clean_Q969Z0,N/A,False
clean_Q8TF63.pdb,AlphaFold,PDB,clean_Q8TF63,N/A,False
clean_P42694.pdb,AlphaFold,PDB,clean_P42694,N/A,False
clean_Q9GZY8.pdb,AlphaFold,PDB,clean_Q9GZY8,N/A,False
clean_P0DI82.pdb,AlphaFold,PDB,clean_P0DI82,N/A,False
clean_Q96NR3.pdb,AlphaFold,PDB,clean_Q96NR3,N/A,False
clean_Q8WWZ7.pdb,AlphaFold,PDB,clean_Q8WWZ7,N/A,False
clean_Q5VZY2.pdb,AlphaFold,PDB,clean_Q5VZY2,N/A,False
clean_Q9Y6N8.pdb,AlphaFold,PDB,clean_Q9Y6N8,N/A,False
clean_Q96NB1.pdb,AlphaFold,PDB,clean_Q96NB1,N/A,False
clean_Q8IY22.pdb,AlphaFold,PDB,clean_Q8IY22,N/A,False
clean_Q2QGD7.pdb,AlphaFold,PDB,clean_Q2QGD7,N/A,False
clean_Q969S2.pdb,AlphaFold,PDB,clean_Q969S2,N/A,False
clean_Q5JQC4.pdb,AlphaFold,PDB,clean_Q5JQC4,N/A,False
clean_Q96JG6.pdb,AlphaFold,PDB,clean_Q96JG6,N/A,False
clean_Q02221.pdb,AlphaFold,PDB,clean_Q02221,N/A,False
clean_Q9UH92.pdb,AlphaFold,PDB,clean_Q9UH92,N/A,False
clean_Q13887.pdb,AlphaFold,PDB,clean_Q13887,N/A,False
clean_Q9HCH3.pdb,AlphaFold,PDB,clean_Q9HCH3,N/A,False
clean_Q56P03.pdb,AlphaFold,PDB,clean_Q56P03,N/A,False
clean_O95810.pdb,AlphaFold,PDB,clean_O95810,N/A,False
clean_Q8IZS8.pdb,AlphaFold,PDB,clean_Q8IZS8,N/A,False
clean_Q13367.pdb,AlphaFold,PDB,clean_Q13367,N/A,False
clean_Q9BWV2.pdb,AlphaFold,PDB,clean_Q9BWV2,N/A,False
clean_O00358.pdb,AlphaFold,PDB,clean_O00358,N/A,False
clean_Q9NY47.pdb,AlphaFold,PDB,clean_Q9NY47,N/A,False
clean_O43895.pdb,AlphaFold,PDB,clean_O43895,N/A,False
clean_Q9H0R3.pdb,AlphaFold,PDB,clean_Q9H0R3,N/A,False
clean_Q9BST9.pdb,AlphaFold,PDB,clean_Q9BST9,N/A,False
clean_Q9P0W8.pdb,AlphaFold,PDB,clean_Q9P0W8,N/A,False
clean_O43687.pdb,AlphaFold,PDB,clean_O43687,N/A,False
clean_Q8WXS8.pdb,AlphaFold,PDB,clean_Q8WXS8,N/A,False
clean_Q8WXE1.pdb,AlphaFold,PDB,clean_Q8WXE1,N/A,False
clean_Q6UB35.pdb,AlphaFold,PDB,clean_Q6UB35,N/A,False
clean_A8MQT2.pdb,AlphaFold,PDB,clean_A8MQT2,N/A,False
clean_P49447.pdb,AlphaFold,PDB,clean_P49447,N/A,False
clean_O43427.pdb,AlphaFold,PDB,clean_O43427,N/A,False
clean_Q86UN3.pdb,AlphaFold,PDB,clean_Q86UN3,N/A,False
clean_P26006.pdb,AlphaFold,PDB,clean_P26006,N/A,False
clean_Q9NQ25.pdb,AlphaFold,PDB,clean_Q9NQ25,N/A,False
clean_Q7Z2X4.pdb,AlphaFold,PDB,clean_Q7Z2X4,N/A,False
clean_P30301.pdb,AlphaFold,PDB,clean_P30301,N/A,False
clean_Q8IYB4.pdb,AlphaFold,PDB,clean_Q8IYB4,N/A,False
clean_Q5T011.pdb,AlphaFold,PDB,clean_Q5T011,N/A,False
clean_O60266.pdb,AlphaFold,PDB,clean_O60266,N/A,False
