DEDUPLICATION REPORT (DISCARDED FILES)
========================================
Total Files Discarded: 3974
Breakdown by Source:
  - EXP_BEST: 0
  - EXP_OTHER: 3929
  - AF_TRIMMED: 0
  - AF_RAW: 45

Detailed List:
PDB_ID	Source	Folder
6ORR	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1GNG	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6BLF	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2H8H	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3GJR	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4HN6	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5IA0	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7R3Z	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6LLY	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5OXR	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2QBX	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1O45	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PX3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8OW3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5MCV	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6Q3V	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4MXO	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4HNF	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6URK	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1A22	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8JWV	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7B4E	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4AFJ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8I60	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4K4J	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6X9I	AF_RAW	/home/ibab/project/alphafold_pdbs(cleaned)
5J79	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1J1B	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4H10	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3MP4	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5NKI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4BJC	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4NGE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4G2J	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5OF0	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1RKB	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4K9W	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4B7T	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8TYQ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2H62	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3OZJ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6DJE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7X8T	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1AXM	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3C1X	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4ACG	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8TZG	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
9GYO	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6US1	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8ZSS	AF_RAW	/home/ibab/project/alphafold_pdbs(cleaned)
2C2M	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1CB6	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5IQP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2YJY	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5OXS	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2Y3K	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
