FINAL SELECTION REPORT
========================================
Total Unique Structures: 21240
Breakdown by Source:
  - EXP_BEST: 7473
  - EXP_OTHER: 12438
  - AF_TRIMMED: 1131
  - AF_RAW: 198

Detailed List:
PDB_ID	Source	Original_File
7TYO	EXP_BEST	clean_7TYO.pdb
6ORR	EXP_BEST	clean_6ORR.pdb
1GNG	EXP_BEST	clean_1GNG.pdb
5R4M	EXP_BEST	clean_5R4M.pdb
6BLF	EXP_BEST	clean_6BLF.pdb
8Y2P	EXP_BEST	clean_8Y2P.pdb
2H8H	EXP_BEST	clean_2H8H.pdb
1QCK	EXP_BEST	clean_1QCK.pdb
3GJR	EXP_BEST	clean_3GJR.pdb
7XZ5	EXP_BEST	clean_7XZ5.pdb
4HN6	EXP_BEST	clean_4HN6.pdb
2EBZ	EXP_BEST	clean_2EBZ.pdb
5HVK	EXP_BEST	clean_5HVK.pdb
6CPK	EXP_BEST	clean_6CPK.pdb
3ZTD	EXP_BEST	clean_3ZTD.pdb
5IA0	EXP_BEST	clean_5IA0.pdb
7E9G	EXP_BEST	clean_7E9G.pdb
7R3Z	EXP_BEST	clean_7R3Z.pdb
6LLY	EXP_BEST	clean_6LLY.pdb
4LXK	EXP_BEST	clean_4LXK.pdb
5OXR	EXP_BEST	clean_5OXR.pdb
2OEI	EXP_BEST	clean_2OEI.pdb
2QBX	EXP_BEST	clean_2QBX.pdb
4L18	EXP_BEST	clean_4L18.pdb
1O45	EXP_BEST	clean_1O45.pdb
7V69	EXP_BEST	clean_7V69.pdb
5PX3	EXP_BEST	clean_5PX3.pdb
8OW3	EXP_BEST	clean_8OW3.pdb
8QYO	EXP_BEST	clean_8QYO.pdb
1OVL	EXP_BEST	clean_1OVL.pdb
4RAV	EXP_BEST	clean_4RAV.pdb
5MCV	EXP_BEST	clean_5MCV.pdb
4ZWC	EXP_BEST	clean_4ZWC.pdb
1NYP	EXP_BEST	clean_1NYP.pdb
8OX4	EXP_BEST	clean_8OX4.pdb
6Q01	EXP_BEST	clean_6Q01.pdb
6Q3V	EXP_BEST	clean_6Q3V.pdb
3P92	EXP_BEST	clean_3P92.pdb
8DZR	EXP_BEST	clean_8DZR.pdb
4MXO	EXP_BEST	clean_4MXO.pdb
4HNF	EXP_BEST	clean_4HNF.pdb
6URK	EXP_BEST	clean_6URK.pdb
7W30	EXP_BEST	clean_7W30.pdb
1A22	EXP_BEST	clean_1A22.pdb
8JWV	EXP_BEST	clean_8JWV.pdb
7B4E	EXP_BEST	clean_7B4E.pdb
4AFJ	EXP_BEST	clean_4AFJ.pdb
8I60	EXP_BEST	clean_8I60.pdb
4K4J	EXP_BEST	clean_4K4J.pdb
2MK2	EXP_BEST	clean_2MK2.pdb
4D8C	EXP_BEST	clean_4D8C.pdb
6X9I	EXP_BEST	clean_6X9I.pdb
7UIS	EXP_BEST	clean_7UIS.pdb
5J79	EXP_BEST	clean_5J79.pdb
1J1B	EXP_BEST	clean_1J1B.pdb
4H10	EXP_BEST	clean_4H10.pdb
3MP4	EXP_BEST	clean_3MP4.pdb
5SH2	EXP_BEST	clean_5SH2.pdb
2ZE1	EXP_BEST	clean_2ZE1.pdb
7QK5	EXP_BEST	clean_7QK5.pdb
5NKI	EXP_BEST	clean_5NKI.pdb
3D0Y	EXP_BEST	clean_3D0Y.pdb
4BJC	EXP_BEST	clean_4BJC.pdb
2ERM	EXP_BEST	clean_2ERM.pdb
4NGE	EXP_BEST	clean_4NGE.pdb
4G2J	EXP_BEST	clean_4G2J.pdb
2LD2	EXP_BEST	clean_2LD2.pdb
5OF0	EXP_BEST	clean_5OF0.pdb
5C5C	EXP_BEST	clean_5C5C.pdb
7FJM	EXP_BEST	clean_7FJM.pdb
5TOL	EXP_BEST	clean_5TOL.pdb
1RKB	EXP_BEST	clean_1RKB.pdb
4K9W	EXP_BEST	clean_4K9W.pdb
3R1G	EXP_BEST	clean_3R1G.pdb
4B7T	EXP_BEST	clean_4B7T.pdb
8TYQ	EXP_BEST	clean_8TYQ.pdb
2H62	EXP_BEST	clean_2H62.pdb
3OZJ	EXP_BEST	clean_3OZJ.pdb
2KOY	EXP_BEST	clean_2KOY.pdb
2ZHT	EXP_BEST	clean_2ZHT.pdb
7P66	EXP_BEST	clean_7P66.pdb
6DJE	EXP_BEST	clean_6DJE.pdb
6PHL	EXP_BEST	clean_6PHL.pdb
9H5G	EXP_BEST	clean_9H5G.pdb
7X8T	EXP_BEST	clean_7X8T.pdb
1AXM	EXP_BEST	clean_1AXM.pdb
6RT0	EXP_BEST	clean_6RT0.pdb
3C1X	EXP_BEST	clean_3C1X.pdb
4ACG	EXP_BEST	clean_4ACG.pdb
7XW6	EXP_BEST	clean_7XW6.pdb
6L03	EXP_BEST	clean_6L03.pdb
2MWP	EXP_BEST	clean_2MWP.pdb
8TZG	EXP_BEST	clean_8TZG.pdb
6TI7	EXP_BEST	clean_6TI7.pdb
9GYO	EXP_BEST	clean_9GYO.pdb
5I3V	EXP_BEST	clean_5I3V.pdb
3IN4	EXP_BEST	clean_3IN4.pdb
5A0Q	EXP_BEST	clean_5A0Q.pdb
6US1	EXP_BEST	clean_6US1.pdb
8ZSS	EXP_BEST	clean_8ZSS.pdb
2C2M	EXP_BEST	clean_2C2M.pdb
1CB6	EXP_BEST	clean_1CB6.pdb
5IQP	EXP_BEST	clean_5IQP.pdb
4ZSA	EXP_BEST	clean_4ZSA.pdb
3UDK	EXP_BEST	clean_3UDK.pdb
8WDK	EXP_BEST	clean_8WDK.pdb
3ROQ	EXP_BEST	clean_3ROQ.pdb
2YJY	EXP_BEST	clean_2YJY.pdb
5OXS	EXP_BEST	clean_5OXS.pdb
2Y3K	EXP_BEST	clean_2Y3K.pdb
1A07	EXP_BEST	clean_1A07.pdb
1HWH	EXP_BEST	clean_1HWH.pdb
1JT3	EXP_BEST	clean_1JT3.pdb
5EDG	EXP_BEST	clean_5EDG.pdb
4E90	EXP_BEST	clean_4E90.pdb
4F70	EXP_BEST	clean_4F70.pdb
5QCP	EXP_BEST	clean_5QCP.pdb
1PY5	EXP_BEST	clean_1PY5.pdb
6RJZ	EXP_BEST	clean_6RJZ.pdb
6S3Q	EXP_BEST	clean_6S3Q.pdb
4NNL	EXP_BEST	clean_4NNL.pdb
3UIO	EXP_BEST	clean_3UIO.pdb
7SXH	EXP_BEST	clean_7SXH.pdb
2CQN	EXP_BEST	clean_2CQN.pdb
5QHG	EXP_BEST	clean_5QHG.pdb
4U41	EXP_BEST	clean_4U41.pdb
6GX6	EXP_BEST	clean_6GX6.pdb
8JLP	EXP_BEST	clean_8JLP.pdb
6L71	EXP_BEST	clean_6L71.pdb
7USC	EXP_BEST	clean_7USC.pdb
8A31	EXP_BEST	clean_8A31.pdb
8QZ3	EXP_BEST	clean_8QZ3.pdb
3MFT	EXP_BEST	clean_3MFT.pdb
7UK5	EXP_BEST	clean_7UK5.pdb
5Y1Z	EXP_BEST	clean_5Y1Z.pdb
3IIW	EXP_BEST	clean_3IIW.pdb
4FYS	EXP_BEST	clean_4FYS.pdb
2HM1	EXP_BEST	clean_2HM1.pdb
1MHN	EXP_BEST	clean_1MHN.pdb
2HVE	EXP_BEST	clean_2HVE.pdb
