Protein_ID,Gene_Name,Protein_Name,Organism
4MBS,4MBS,Unknown,
6WGT,6WGT,Unknown,
7W41,7W41,Unknown,
6D26,6D26,Unknown,
3VW7,3VW7,Unknown,
6RZ4,6RZ4,Unknown,
8XQI,8XQI,Unknown,
6D27,6D27,Unknown,
4NC3,4NC3,Unknown,
P34995,PTGER1,Prostaglandin E2 receptor EP1 subtype,Homo sapiens
7BR3,7BR3,Unknown,
4IB4,4IB4,Unknown,
6DRY,6DRY,Unknown,
8E9Z,8E9Z,Unknown,
3V2Y,3V2Y,Unknown,
Q9NYM4,GPR83,G-protein coupled receptor 83,Homo sapiens
4Z36,4Z36,Unknown,
7SUS,7SUS,Unknown,
4IAQ,4IAQ,Unknown,
4IAR,4IAR,Unknown,
