Protein_ID,Source,Num_Pockets,Top_Score,Top_Probability,Center_X,Center_Y,Center_Z,Surf_Atoms
Q15761,alphafold,9,49.66,0.967,-8.32,-2.644,12.101,91.0
P23458,alphafold,29,43.85,0.955,16.368,4.169,-9.587,107.0
Q9NPF2,alphafold,7,25.07,0.861,-4.305,6.069,-4.044,68.0
Q9NR64,alphafold,12,31.13,0.907,14.604,6.637,-12.055,107.0
P31150,alphafold,5,6.57,0.28,9.212,-3.111,-9.186,35.0
Q08J23,alphafold,13,23.46,0.841,14.998,0.287,-8.136,62.0
P57740,alphafold,22,24.66,0.857,27.08,9.125,-27.558,66.0
Q9NYY8,alphafold,11,31.03,0.907,-12.509,12.075,15.114,85.0
Q9NXL9,alphafold,16,12.1,0.552,13.422,1.807,-28.293,46.0
P06280,alphafold,6,9.84,0.455,-10.839,-9.132,2.401,25.0
Q92558,alphafold,0,,,,,,
P34949,alphafold,7,24.83,0.859,-6.556,0.663,-3.088,51.0
Q9Y2C5,alphafold,9,54.91,0.974,-1.727,0.802,-3.446,108.0
Q8NCN2,alphafold,7,4.93,0.182,-23.495,-2.735,15.335,41.0
Q6R6M4,alphafold,7,9.49,0.438,1.574,-9.98,-13.97,37.0
Q9NWT1,alphafold,6,27.24,0.88,1.215,0.422,-1.307,73.0
Q96BA8,alphafold,0,,,,,,
P18615,alphafold,0,,,,,,
O75044,alphafold,7,4.08,0.134,-15.386,-21.408,23.775,25.0
Q7RTZ2,alphafold,10,16.98,0.714,4.887,0.348,0.83,66.0
Q8N0X2,alphafold,4,50.25,0.968,-8.824,4.694,4.517,124.0
O15234,alphafold,0,,,,,,
Q96AA8,alphafold,0,,,,,,
Q5VTH2,alphafold,0,,,,,,
Q8IWZ3,alphafold,9,15.17,0.665,18.942,12.291,-13.177,38.0
Q5GLZ8,alphafold,20,36.75,0.937,27.703,1.296,-16.186,86.0
Q3ZCN5,alphafold,41,13.29,0.598,-23.239,35.032,-19.605,70.0
Q9BV94,alphafold,8,33.84,0.924,7.387,-0.169,0.763,54.0
Q92954,alphafold,7,6.9,0.298,-2.202,-6.013,13.888,29.0
P26358,alphafold,29,19.25,0.771,-3.683,-13.089,8.331,51.0
Q9HBT6,alphafold,1,3.29,0.091,-90.884,-3.581,53.147,20.0
Q99680,alphafold,10,7.01,0.303,7.406,-5.539,-12.44,24.0
Q9NUW8,alphafold,8,49.89,0.967,-2.211,7.621,-9.365,113.0
Q9H0U9,alphafold,2,4.9,0.181,-9.231,-5.95,-8.685,25.0
Q68DK2,alphafold,37,10.02,0.463,6.908,30.402,8.468,25.0
O95810,alphafold,0,,,,,,
