Protein_ID,Affinity_Lower_nM,Ligand_Efficiency
clean_3V2Y,1297.203965,0.3602
clean_3VW7,7843.151835,0.3026
clean_4IAQ,69982.665861,0.2326
clean_4IAR,326614.685139,0.1833
clean_4IB4,15876.301307,0.28
clean_4MBS,37.115205,0.4739
clean_4NC3,584.317685,0.3857
clean_4XT1,1940096.017762,0.1263
clean_4Z34,18870.105191,0.2745
clean_4Z35,2424.31564,0.3402
clean_4Z36,310.518008,0.4059
clean_5TVN,1765245.641455,0.1293
clean_6D26,2933.678683,0.3341
clean_6D27,19079.998621,0.2742
clean_6DRY,205.39838,0.4192
clean_6RZ4,9130.887695,0.2977
clean_6WGT,92792.757632,0.2235
clean_6WHA,3008962837.859726,-0.1088
clean_7BR3,5386221.86735,0.0936
clean_7CX2,18579440033.76984,-0.1671
clean_7CX4,37141216731577256.0,-0.6314
clean_7EIB,88486357421464080.0,-0.6591
clean_7F1R,295515963.843609,-0.0346
clean_7RAN,33004.585646,0.2566
clean_7S8O,2271603.814488,0.1212
clean_7SK8,271.324852,0.4103
clean_7SK9,600.603632,0.3848
clean_7SUS,84.18478,0.4477
clean_7UM5,140666.793733,0.2102
clean_7UM6,11337384023381.3125,-0.3723
clean_7W41,9.264676,0.5183
clean_7ZL9,30676309.619152,0.0379
clean_7ZLY,25018.330583,0.2655
clean_8DPF,352.492203,0.4019
clean_8E9Z,96470531.162457,0.0013
clean_8IKL,11100140215013087232.0,-0.8138
clean_8JD6,267632201132884384.0,-0.6946
clean_8UWL,92887.222789,0.2235
clean_8XQI,82.471914,0.4484
clean_8ZH8,3868875258970184.0,-0.559
clean_9BHM,13123757235501864.0,-0.5981
P34995,111.634335,0.4387
P49682,20133.305667,0.2724
Q9NYM4,167974.267845,0.2046
