Protein_ID,Vina_Score,FlexX_Score,HYDE_Lower_nM,HYDE_Upper_nM,FlexX_Poses
clean_6FXY,-7.8,-19.48,152380.59026,15139912.587643,10
clean_4L4V,-8.5,-18.00,2854.206958,283582.336662,10
clean_4LCW,-8.5,-17.94,2088.02756,207457.88349,10
clean_7MHD,-8.2,-17.90,7245.019848,719835.557821,10
clean_6PXU,-7.7,-17.63,231.651205,23015.916864,10
clean_8B95,-8.2,-17.46,633764.700778,62968270.135788,10
clean_8QW6,-7.9,-17.25,1599.789408,158948.536422,10
clean_8SC9,-7.7,-17.16,106.443364,10575.777566,10
clean_1XM6,-7.7,-16.99,23092.210106,2294347.605984,10
clean_7MFY,-8.6,-16.95,1.196109,118.840467,10
clean_5LIU,-7.8,-16.46,821.105555,81581.691671,10
clean_6WAU,-7.9,-16.11,212889.241328,21151804.826793,10
clean_4P45,-8.0,-16.08,24865515.742784,2470536005.609734,10
clean_4P6X,-8.5,-16.01,12.189993,1211.147919,10
clean_6JJR,-7.8,-16.00,28702.342441,2851747.423201,10
clean_6XQP,-8.8,-15.64,59344.842753,5896261.001971,10
clean_4ZS2,-7.7,-15.60,22752.935355,2260638.653559,10
clean_7KDZ,-7.7,-15.52,136.696412,13581.596753,10
clean_5NRA,-8.1,-15.45,239.246904,23770.594492,10
clean_4LRH,-10.0,-15.39,43993.08148,4370972.752742,10
clean_8TRT,-7.7,-15.36,517613.154253,51427927.246205,10
clean_2JBK,-8.2,-15.35,140757173.470702,13985057406.586847,10
clean_5C6C,-7.6,-15.28,22968.304078,2282036.809469,10
clean_2OR4,-8.2,-15.26,4504090.425831,447508014.096441,10
clean_1XOX,-7.7,-15.11,162907007.86987,16185774414.329483,10
clean_4J3M,-8.0,-15.04,7417172.758306,736939967.333667,10
clean_6PUD,-9.1,-15.03,1131.136102,112385.059524,6
clean_3SX7,-7.9,-14.99,7550.229193,750159.910842,10
clean_8DD2,-8.4,-14.85,470.466667,46743.644985,10
clean_5SHK,-7.8,-14.81,484585.262697,48146410.943786,10
clean_3WHW,-8.6,-14.73,5567202.545408,553134488.792687,10
clean_3GG3,-8.0,-14.69,1436.134483,142688.451988,10
clean_3HMV,-7.6,-14.65,419543.115749,41684089.084873,10
clean_6G2M,-8.8,-14.64,131.162058,13031.725943,10
clean_7RKL,-8.0,-14.61,467.980098,46496.589656,10
clean_4WKF,-9.7,-14.53,706121448.743746,70157340853.104263,10
clean_3UZW,-7.8,-14.52,2651.505082,263442.706806,10
clean_4IFP,-7.7,-14.51,6745.92753,670247.785201,10
clean_1PY5,-8.2,-14.50,1162.305517,115481.925249,10
clean_6LU6,-7.7,-14.50,758.484766,75359.945973,10
clean_7ZT3,-8.2,-14.50,721.123778,71647.910935,10
clean_8B92,-8.1,-14.49,157595.460862,15658040.814712,10
clean_2Y74,-7.8,-14.44,232994.74842,23149405.829476,10
clean_4L6C,-8.0,-14.44,106358.280924,10567324.049703,10
clean_5CBX,-7.8,-14.39,322314392.919091,32023840610.019867,10
clean_6UXY,-8.9,-14.38,6.185524,614.568412,10
clean_4J22,-7.8,-14.34,3050110.084701,303046470.593117,10
clean_4XZL,-7.6,-14.33,4605.897168,457623.115892,10
clean_5ZTY,-8.0,-14.30,0.603448,59.956176,10
clean_3R7M,-8.2,-14.26,3746.027627,372189.992998,10
clean_3RIN,-7.7,-14.26,5263.564314,522966.235245,10
clean_4WKH,-9.6,-14.22,150155.726786,14918859.247058,10
clean_1ISG,-7.7,-14.21,6658.732456,661584.439029,10
clean_4I9Z,-8.0,-14.21,6.110344,607.098769,10
clean_6NGF,-8.2,-14.20,41.22942,4096.386617,10
clean_8WFE,-7.7,-14.19,182.932225,18175.398183,10
clean_9BTY,-8.1,-14.19,365048.335942,36269710.512418,10
clean_7N03,-8.9,-14.18,1886.648408,187449.674076,10
clean_4DBW,-8.3,-14.09,6936.230582,689155.518565,10
clean_2IWZ,-7.7,-14.06,28027.590221,2784706.800657,10
clean_6PUE,-8.9,-14.04,1547.732125,153776.337571,5
clean_6I3D,-9.9,-13.97,5170.899301,513759.418353,10
clean_8JT9,-7.9,-13.95,1149.373012,114197.004412,10
clean_5VMV,-8.5,-13.93,13.719146,1363.078281,10
clean_5SF4,-8.0,-13.92,1214687.526684,120686387.577063,10
clean_5VV0,-7.6,-13.91,4108.115762,408165.590074,10
clean_3R94,-8.7,-13.89,5625.139054,558890.823442,10
clean_4DZ5,-8.3,-13.89,20820.341695,2068624.04698,10
clean_4IA0,-7.9,-13.84,156.001702,15499.691452,10
clean_6PUK,-8.7,-13.82,4076.192587,404993.833874,10
clean_6G2L,-8.5,-13.79,1383.733858,137482.140042,10
clean_4PJC,-8.4,-13.73,478.354902,47527.387799,10
clean_4P4F,-8.3,-13.65,8951823.955799,889416637.38058,10
clean_6F5L,-8.4,-13.57,15425205.174924,1532585335.15948,10
clean_3KCF,-7.9,-13.56,147.903536,14695.09076,10
clean_5SH8,-7.8,-13.48,478555.714575,47547339.688367,10
clean_6G22,-8.4,-13.46,99779.219423,9913655.391066,10
clean_4MYQ,-8.3,-13.45,0.773011,76.803207,10
clean_7TS7,-8.2,-13.45,757.348827,75247.08376,10
clean_6ETY,-8.2,-13.44,411782.288717,40913005.033651,10
clean_5DNR,-8.4,-13.43,2961550.203188,294247522.757268,10
clean_4N73,-7.6,-13.41,18124.956478,1800821.589292,10
clean_2AEC,-7.7,-13.36,134418288.430779,13355251699.416037,10
clean_3U5N,-7.7,-13.36,669.718817,66540.524154,10
clean_9CK0,-8.0,-13.34,741.156174,73638.247932,10
clean_8CGP,-7.7,-13.33,14667.183489,1457271.398908,10
clean_6US2,-9.3,-13.31,56.725406,5636.004498,10
clean_1MVT,-7.6,-13.26,40.353954,4009.403898,10
clean_2CIJ,-7.8,-13.26,242758.934801,24119535.47686,10
clean_5TUD,-7.8,-13.25,4.894454,486.292916,10
clean_4R8Q,-7.6,-13.22,3998608.651056,397285411.127809,10
clean_3HUB,-7.6,-13.21,49839.245481,4951823.71145,10
clean_4WQ6,-8.4,-13.16,3670350.295849,364671002.720946,10
clean_3EQR,-7.8,-13.15,4374.513739,434633.804093,10
clean_6U9M,-7.7,-13.14,2652873.420472,263578659.352876,10
Q15067,-7.8,-13.11,74838.957285,7435692.889164,10
clean_4FAL,-8.3,-13.07,409513.740225,40687611.328236,10
clean_8TOR,-7.9,-13.05,378231.077763,37579493.854839,10
clean_4NW7,-8.1,-13.01,13182.715776,1309780.75471,10
clean_4HEE,-7.7,-13.00,0.736439,73.169537,10
