Protein_ID,Source,Num_Pockets,Top_Score,Top_Probability,Center_X,Center_Y,Center_Z,Surf_Atoms,Score_Sim,Size_Sim,TM_Score,Rank_Score
clean_7YXA,pdb,13,31.31,0.938,13.568,18.158,11.078,75.0,0.9535427807502159,0.986842105263331,0.5684,0.7981527666763764
clean_5TUD,pdb,24,34.02,0.948,19.412,-25.798,85.73,73.0,0.8629679144430826,0.960526315789993,0.60912,0.7966942144676159
clean_5WIV,pdb,9,32.18,0.942,-17.383,16.039,-17.741,76.0,0.9244652406442359,1.0,0.57017,0.7955610481288471
clean_6RZ5,pdb,18,28.57,0.926,-0.032,-0.728,-9.476,77.0,0.954879679145893,0.986842105263331,0.56993,0.7954321463555117
clean_7RAN,pdb,23,30.94,0.937,154.582,154.427,131.732,75.0,0.9659090909102304,0.986842105263331,0.55427,0.7946740287083792
clean_8E9Z,pdb,17,29.98,0.933,126.255,117.731,159.146,88.0,0.9979946524064842,0.8421052631599724,0.57134,0.7922454567972941
clean_4IAR,pdb,9,35.25,0.952,-10.797,-18.373,20.933,70.0,0.8218582887760075,0.9210526315799862,0.62059,0.7903129209132
clean_7BR3,pdb,7,30.56,0.935,-26.739,18.84,-9.336,94.0,0.9786096256691642,0.7631578947399584,0.59174,0.7892337146078288
clean_3VW7,pdb,8,27.52,0.921,-3.598,-7.612,57.774,79.0,0.9197860962593654,0.960526315789993,0.57825,0.7876098508308724
clean_4IAQ,pdb,8,35.2,0.952,-21.825,8.767,21.622,68.0,0.8235294117706039,0.8947368421066482,0.61716,0.7866435665647856
clean_7ZLY,pdb,8,34.49,0.95,21.865,67.929,105.329,87.0,0.847259358293875,0.8552631578966413,0.60961,0.7838221874484392
P34995,alphafold,6,30.33,0.903,-0.805,-3.238,-14.969,71.0,0.9862967914443084,0.9342105263166551,0.55551,0.7837844109205272
clean_4Z35,pdb,5,34.95,0.952,-3.529,-27.602,51.943,80.0,0.8318850267435867,0.9473684210533241,0.59266,0.7837778474540498
clean_7SUS,pdb,5,33.87,0.948,-41.399,8.312,48.483,68.0,0.8679812834268724,0.8947368421066482,0.58642,0.7820379408960393
clean_7EIB,pdb,13,28.43,0.925,85.762,105.372,137.876,81.0,0.9502005347610226,0.9342105263166551,0.54885,0.7805011595838701
clean_4IB4,pdb,6,34.17,0.949,21.23,18.315,9.578,66.0,0.857954545459293,0.8684210526333103,0.59316,0.7803970143551896
