Protein_ID,Vina_Score,FlexX_Score,HYDE_Lower_nM,HYDE_Upper_nM,FlexX_Poses
clean_2VZC,-11.7,NA,NA,NA,0
clean_7KTB,-11.1,-9.96,16003208.392576,1590013372.25867,10
clean_7KT4,-10.6,-8.00,1392032.989267,138306707.83411,10
clean_7KT7,-10.5,-9.39,1766363.904488,175498697.480799,10
clean_7KTE,-10.5,-5.52,142006092.095155,14109144856.117546,10
clean_6VF4,-10.4,-10.43,15960.254691,1585745.668014,10
clean_3UGR,-10.2,-6.48,36527.292419,3629202.468253,10
clean_5J48,-10.1,-11.17,20765.173201,2063142.730903,10
clean_6VF0,-10.1,-10.06,19615568.004683,1948922657.681848,10
clean_9BU0,-10.1,NA,NA,NA,0
clean_4LRH,-10.0,-15.39,43993.08148,4370972.752742,10
clean_6D5K,-10.0,NA,NA,NA,0
clean_7COA,-10.0,-6.61,5523439.845121,548786405.773629,10
clean_2IDX,-9.9,NA,NA,NA,0
clean_6GX2,-9.9,-4.91,22092.323399,2195002.949887,10
clean_6I3D,-9.9,-13.97,5170.899301,513759.418353,10
clean_7SVL,-9.9,-1.93,2695.903411,267853.943334,10
clean_4WJX,-9.8,-11.77,122885.035148,12209354.795742,10
clean_5HTC,-9.8,-3.43,15576.146267,1547582.225132,7
clean_6D5X,-9.8,NA,NA,NA,0
clean_4C9X,-9.7,-12.06,75.798849,7531.063798,10
clean_4WKF,-9.7,-14.53,706121448.743746,70157340853.104263,10
clean_7CO9,-9.7,-7.96,1077140.612811,107020288.442113,10
clean_7RUT,-9.7,-7.05,1.581883,157.169416,4
clean_4WKH,-9.6,-14.22,150155.726786,14918859.247058,10
clean_6BCZ,-9.6,-4.55,443974.359862,44111477.636458,10
clean_5WS7,-9.4,3.97,5149.796703,511662.750407,10
clean_5Y5N,-9.4,-5.13,1215.503192,120767.428707,5
clean_6IMI,-9.4,-9.46,33529734.534438,3331377369.476224,10
clean_8COT,-9.4,-6.66,63375.108105,6296691.693526,10
clean_4WK9,-9.3,-8.66,411600.190968,40894912.545604,10
clean_5ANU,-9.3,-6.91,347.835599,34559.523323,10
clean_5U6Q,-9.3,-11.78,146.657027,14571.24276,10
clean_5ZKQ,-9.3,-10.37,2395.925717,238049.385768,10
clean_6US2,-9.3,-13.31,56.725406,5636.004498,10
clean_8CO7,-9.3,-2.97,723.429983,71877.046019,10
clean_9CGS,-9.3,-8.46,27682132691.336693,2750383552605.784668,10
clean_3HDZ,-9.2,-5.77,364.467748,36212.025649,10
clean_4N1T,-9.2,-5.74,107756.007751,10706196.473961,10
clean_4ZG9,-9.2,-9.93,1092973.105416,108593340.191537,10
clean_5H08,-9.2,-10.08,239.192501,23765.18921,10
clean_5M7B,-9.2,-1.36,8115.045028,806277.703433,8
clean_5MAT,-9.2,-6.24,67.590499,6715.515732,10
clean_6T4Y,-9.2,-8.51,0.536297,53.284276,10
clean_7OVD,-9.2,-4.00,195.263805,19400.613491,10
clean_8DSD,-9.2,-5.03,5168525136.935845,513523531093.640503,10
clean_2H4H,-9.1,-6.48,1689763847.737661,167888028947.278107,2
clean_5M79,-9.1,-1.46,148358.225308,14740266.847587,7
clean_5M7D,-9.1,-7.18,287867.814302,28601369.360129,3
clean_5U72,-9.1,-11.22,34739.184448,3451543.369231,10
clean_6CXV,-9.1,-4.58,288.12663,28627.084186,10
clean_6F1X,-9.1,-9.40,7362.683267,731526.114249,9
clean_6PEB,-9.1,-1.25,5696.604555,565991.34355,9
clean_6PUD,-9.1,-15.03,1131.136102,112385.059524,6
clean_6UE6,-9.1,0.86,472.912871,46986.68986,7
clean_6US4,-9.1,-9.86,1103.031935,109592.744366,10
clean_6W9V,-9.1,-11.89,43446.467133,4316663.38547,10
clean_6X3X,-9.1,-7.38,60.664158,6027.342806,10
clean_8A0S,-9.1,-3.23,300827.205205,29888961.46833,10
clean_8BLB,-9.1,-11.85,4.847145,481.592504,10
clean_8DSC,-9.1,-5.16,393201911127.909302,39066934664243.226563,10
clean_8DSI,-9.1,-1.64,192754028.631281,19151252396.528446,10
clean_8GUS,-9.1,-11.35,2261.209123,224664.49567,10
clean_8UW9,-9.1,-9.95,281130.888367,27932015.936665,10
clean_1Z4K,-9.0,-2.65,1968546.940911,195586777.550166,10
clean_4ORX,-9.0,-7.92,671.71045,66738.404626,10
clean_5M7C,-9.0,-4.57,697038.209261,69254867.306084,10
clean_5U2M,-9.0,-6.94,19215396189.567818,1909163221847.095215,10
clean_5U2N,-9.0,0.65,968798063.589368,96255815605.075333,10
clean_5WI1,-9.0,-2.96,50184334158.274948,4986110311890.390625,10
clean_5YF1,-9.0,-8.53,333967.099128,33181605.868136,10
clean_6E68,-9.0,-3.81,8139506313477.332031,808708076813934.375,10
clean_6EQ2,-9.0,-5.42,1794122.657956,178256693.760581,10
clean_6PUH,-9.0,-10.71,5782.78239,574553.620916,2
clean_6PUM,-9.0,-2.67,392.138456,38961.274089,1
clean_6US3,-9.0,-10.72,7683.791313,763430.097109,10
clean_7COD,-9.0,-9.88,53520095563.226364,5317537930054.612305,10
clean_8HBF,-9.0,-5.95,60429.628532,6004040.882873,10
P21589,-9.0,-6.42,109.314951,10861.086669,10
clean_1Y2B,-8.9,-7.64,7645298.289287,759605587.621552,10
clean_1Z4J,-8.9,-4.55,305177.27879,30321166.998616,10
clean_2E5D,-8.9,-5.61,99929645948.836365,9928601155842.775391,10
clean_3FC6,-8.9,-9.40,0.010039,0.997393,10
clean_3IPQ,-8.9,-1.25,0.455248,45.231545,10
clean_3L2P,-8.9,-5.88,56364.278227,5600124.29379,10
clean_3V0Q,-8.9,-0.03,310926.054401,30892341.845029,3
clean_4GRA,-8.9,-8.02,35.131158,3490.488265,10
clean_4N9E,-8.9,-2.39,13014877843.39407,1293105063788.928223,10
clean_4O1B,-8.9,-4.23,983354885.887281,97702121967.117828,10
clean_4O1D,-8.9,-5.64,182528.631598,18135298.743972,10
clean_5ANV,-8.9,-12.02,8088.337294,803624.132145,10
clean_5UPE,-8.9,-5.69,1761408878.622011,175006386364.585022,10
clean_5UPF,-8.9,-1.34,340393462365.081726,33820103051397.128906,10
clean_6EQ4,-8.9,-5.77,28531.594583,2834782.613981,10
clean_6H5T,-8.9,0.49,22856625.020064,2270940834.805569,4
clean_6JVJ,-8.9,-5.52,116915.055325,11616202.00304,10
clean_6N3L,-8.9,NA,NA,NA,0
clean_6PUE,-8.9,-14.04,1547.732125,153776.337571,5
clean_6PUI,-8.9,-4.82,3004.928657,298557.428623,10
clean_6PVD,-8.9,NA,NA,NA,1
clean_6UXY,-8.9,-14.38,6.185524,614.568412,10
clean_7EVY,-8.9,-11.22,0.026357,2.61875,10
clean_7N03,-8.9,-14.18,1886.648408,187449.674076,10
clean_7N13,-8.9,-12.76,17555.546484,1744247.3398,10
clean_7ZT8,-8.9,-10.29,123748.056185,12295101.038422,8
clean_8A3A,-8.9,-10.20,7414.369136,736661.410835,10
clean_1G3M,-8.8,-4.83,405665785.031933,40305294228.862694,10
clean_1HY3,-8.8,-3.35,411779.423523,40912720.359633,5
clean_1LS6,-8.8,-3.82,18997187113.972931,1887482860032.585938,10
clean_1Q91,-8.8,-12.16,2449.738573,243396.011226,10
clean_1XVP,-8.8,0.38,12.497699,1241.72027,10
clean_1Z28,-8.8,-11.27,717362471.977151,71274202973.532272,10
clean_2GVJ,-8.8,-7.44,10072812350367.875,1000793462188932.0,10
clean_2H44,-8.8,-7.93,4078.210056,405194.281321,10
clean_3CKL,-8.8,-5.65,349578287649159.3125,34732669748355100.0,10
clean_3SX3,-8.8,1.53,103943.839738,10327435.042585,5
clean_3UG8,-8.8,-9.39,1852554.08496,184062201.507362,10
clean_4LV9,-8.8,-9.08,78609.433925,7810312.036215,10
clean_4N1U,-8.8,-6.45,1.072993,106.608149,10
clean_4ORU,-8.8,-10.64,534.045114,53060.539636,10
clean_5WMV,-8.8,-1.75,3458.854102,343657.605405,9
clean_6B75,-8.8,-7.33,115073546415427.765625,11433237205024326.0,10
clean_6G2M,-8.8,-14.64,131.162058,13031.725943,10
clean_6PUJ,-8.8,-3.03,143.754525,14282.862026,3
clean_6XQP,-8.8,-15.64,59344.842753,5896261.001971,10
clean_7AH4,-8.8,-4.11,2768.296477,275046.622447,10
clean_7E0A,-8.8,-11.18,1688.045502,167717.301151,10
clean_7KTM,-8.8,-11.46,15501350.750435,1540150848.294697,10
clean_7PPE,-8.8,-5.11,57580953.860321,5721008211.565419,10
clean_7PPF,-8.8,-4.85,92273945667.209854,9167962068780.882813,10
clean_7VIH,-8.8,-5.00,1.146241,113.885821,4
clean_8ALX,-8.8,NA,NA,NA,0
clean_8D8I,-8.8,-1.37,13.306918,1322.120959,10
clean_8T69,-8.8,-5.87,222639.794029,22120579.887449,10
clean_8TM7,-8.8,-1.94,144009248251.26004,14308170263823.085938,10
clean_1B98,-8.7,-11.75,2905.050624,288633.955491,10
clean_1L8J,-8.7,NA,NA,NA,0
clean_1UMO,-8.7,-8.12,697.002615,69251.330817,7
