Protein_ID,TM_Score,RMSD
Q9NYV8,0.50699,3.91
P61073,0.55493,2.72
P49682,0.55827,2.69
Q92633,0.56801,3.21
P35414,0.57058,2.93
Q9NYV8,0.50699,3.91
P30872,0.58433,2.70
Q92633,0.56801,3.21
clean_7WQ4,0.55529,3.03
clean_4IAR,0.62059,3.38
clean_6M9T,0.52840,3.43
clean_7CX2,0.50913,3.26
clean_7UL2,0.55790,2.93
clean_7CX3,0.50769,3.21
clean_4IB4,0.59316,3.84
clean_4ZUD,0.50504,2.49
clean_7F6G,0.55127,3.11
clean_7EO4,0.51924,3.25
clean_6D27,0.55104,3.38
clean_9K27,0.56009,3.45
clean_6RZ5,0.56993,3.84
clean_8SG1,0.53048,2.98
clean_7K15,0.59820,4.98
clean_3VW7,0.57825,4.90
clean_7SRQ,0.52456,2.46
clean_8XZF,0.54552,3.11
clean_7CX4,0.50737,3.25
clean_7F6H,0.55196,3.23
clean_5ZKQ,0.50794,2.95
clean_8XGS,0.55410,3.46
clean_5ZKP,0.51275,4.49
clean_6DRY,0.58548,3.77
clean_5UNG,0.53572,3.20
clean_7W3Z,0.56869,3.19
clean_5UNF,0.52378,3.02
clean_5TVN,0.58935,3.77
clean_9BHM,0.52793,3.37
clean_4MBS,0.60346,3.39
clean_7XAT,0.54752,3.28
clean_6D26,0.55326,3.37
clean_8XZH,0.54465,3.12
clean_7XAV,0.54947,3.33
clean_7YXA,0.56840,3.80
clean_6AK3,0.53052,3.16
clean_7ZL9,0.55091,3.15
clean_9IQT,0.52934,3.21
clean_6OS1,0.59745,3.96
clean_4YAY,0.53425,3.01
clean_5NDD,0.57452,4.25
clean_6OSA,0.57571,3.10
clean_7XMS,0.54622,3.23
clean_7XAU,0.54742,3.47
clean_5ZTY,0.71007,4.37
clean_7JNI,0.53189,3.18
clean_4PXZ,0.54809,4.54
clean_7W40,0.56855,3.19
clean_8J6I,0.52566,3.04
clean_4Z36,0.59473,3.70
clean_8K3Z,0.53641,3.08
clean_7VKT,0.53390,3.11
clean_7XXI,0.53028,3.80
clean_8I7V,0.52698,3.18
clean_8XGU,0.54619,3.44
clean_7EIB,0.54885,3.09
clean_4Z35,0.59266,3.61
clean_8G05,0.54600,3.23
clean_8FYT,0.57232,3.28
clean_3ODU,0.54098,4.15
clean_7TD0,0.53179,3.13
clean_6LW5,0.54412,3.17
clean_4XT1,0.52027,3.04
clean_8HK2,0.54275,3.27
clean_8QW4,0.51000,3.64
clean_3OE0,0.65661,5.21
clean_6BD4,0.51738,3.83
clean_8XZJ,0.54177,3.11
clean_7XMT,0.53500,3.17
clean_7EO2,0.52462,3.29
clean_6OS2,0.59759,3.95
clean_4IAQ,0.61716,3.82
clean_7T10,0.55217,3.19
clean_5TUD,0.60912,3.86
clean_6RZ4,0.56975,3.92
clean_7F1R,0.52775,3.26
clean_4NTJ,0.54792,4.63
clean_7X9C,0.55462,3.05
clean_7SUS,0.58642,3.77
clean_7M8W,0.55922,3.06
clean_5UIW,0.61896,3.66
clean_8XYD,0.54175,3.49
clean_6DO1,0.54916,3.08
clean_7WIG,0.54547,3.11
clean_8JJP,0.53770,3.17
clean_8IJA,0.52899,3.15
clean_7F1S,0.52622,3.24
clean_6OS0,0.60154,4.12
clean_8XGO,0.56076,3.61
clean_8ID6,0.51303,4.01
clean_5GLH,0.57691,4.26
clean_8IHB,0.52681,3.21
clean_6OS9,0.55043,2.93
clean_8JEF,0.52699,3.14
clean_4NC3,0.59000,3.91
clean_9EPO,0.50932,3.72
clean_7F6I,0.55180,3.17
clean_4Z34,0.59248,3.63
clean_7ZLY,0.60961,3.85
clean_7F1Q,0.54118,3.25
clean_3V2Y,0.61903,6.00
clean_7BR3,0.59174,4.64
clean_7W41,0.64370,4.27
P35414,0.57058,2.93
Q9NYV8,0.50699,3.91
P61073,0.55493,2.72
Q92633,0.56801,3.21
P35414,0.57058,2.93
P61073,0.55493,2.72
P49682,0.55827,2.69
P35414,0.57058,2.93
Q9NYV8,0.50699,3.91
P61073,0.55493,2.72
P30872,0.58433,2.70
P32247,0.59023,2.97
Q9H244,0.53238,3.56
Q92633,0.56801,3.21
clean_8DZR,0.51951,3.01
clean_8UWL,0.56016,2.71
clean_8SMV,0.55362,2.67
clean_5U09,0.59183,3.97
clean_7UL2,0.55790,2.93
clean_7CX3,0.50769,3.21
clean_8F7S,0.54776,3.44
clean_5KW2,0.54676,4.30
clean_8HQC,0.51008,3.13
clean_5TZR,0.59613,4.89
clean_7AUE,0.52458,3.19
clean_7EO4,0.51924,3.25
clean_8XFS,0.53016,2.92
clean_8H2G,0.52436,3.22
clean_4PHU,0.59271,4.85
clean_8W8Q,0.55114,3.26
clean_8DPG,0.54395,2.69
clean_8HPT,0.51554,2.70
clean_8E9Z,0.57134,2.61
clean_7PIU,0.52063,3.04
clean_8K9K,0.54599,3.03
clean_7SRQ,0.52456,2.46
clean_8XZF,0.54552,3.11
clean_7F6H,0.55196,3.23
clean_7UM5,0.54660,2.81
clean_7T8X,0.57255,2.46
clean_8WKY,0.57050,4.48
clean_7W3Z,0.56869,3.19
clean_8EFB,0.55644,3.02
clean_8YU7,0.52821,2.59
clean_8YUU,0.58201,3.00
clean_9L3Y,0.52502,3.31
clean_8XZH,0.54465,3.12
clean_8E9W,0.57201,2.62
clean_8V6U,0.54039,2.51
clean_9IQT,0.52934,3.21
clean_6OIK,0.57311,2.58
clean_8F76,0.53951,2.88
clean_7JVP,0.56898,2.92
clean_8F7Q,0.55193,3.16
clean_8HMV,0.54273,3.23
clean_7XMS,0.54622,3.23
clean_7F1Z,0.56519,2.98
clean_8I97,0.53694,3.06
clean_8EFO,0.55208,3.13
clean_4PXZ,0.54809,4.54
clean_7XBD,0.54159,3.17
clean_7W40,0.56855,3.19
clean_5NDZ,0.57507,4.21
clean_4N6H,0.56970,2.97
clean_5WIV,0.57017,3.22
clean_7VKT,0.53390,3.11
clean_8ZH8,0.55328,2.60
clean_8INR,0.53700,3.11
clean_7XXI,0.53028,3.80
clean_8I7V,0.52698,3.18
clean_8UHB,0.56911,3.01
clean_7UL5,0.57607,2.67
clean_8G05,0.54600,3.23
clean_8WVU,0.51905,3.19
clean_7UL3,0.57428,2.23
clean_8DZP,0.54281,3.07
clean_6WGT,0.59233,3.97
clean_3ODU,0.54098,4.15
clean_8DPH,0.54344,2.71
clean_7UM6,0.53810,2.65
clean_9K1C,0.53070,2.76
clean_6WHA,0.50419,2.55
clean_7YS6,0.55322,2.73
clean_8E9Y,0.57529,2.55
clean_7SK9,0.53870,2.96
clean_8X2K,0.51416,3.43
clean_9K1D,0.50828,3.58
clean_8WKZ,0.56849,4.40
clean_7F58,0.53606,3.30
clean_7XV3,0.52269,3.32
clean_8EFL,0.55282,3.13
clean_8XZJ,0.54177,3.11
clean_7XMT,0.53500,3.17
clean_8HVI,0.53416,3.50
clean_7T10,0.55217,3.19
clean_8DZS,0.53481,3.21
clean_8IQ4,0.52772,2.78
clean_7VGY,0.55473,3.11
clean_8UYQ,0.53437,3.00
clean_8YH0,0.53365,2.87
clean_6WH4,0.59199,3.56
clean_7M8W,0.55922,3.06
clean_8WP1,0.55038,3.11
clean_7WIG,0.54547,3.11
clean_8EF6,0.55265,3.22
clean_7F61,0.58991,3.01
clean_5WIU,0.56659,3.45
clean_7SK8,0.54151,3.06
clean_7WF7,0.51204,3.34
clean_7RAN,0.55427,2.71
clean_8J23,0.50029,3.41
clean_8DPI,0.54343,2.71
clean_8J19,0.54785,3.10
clean_8SAI,0.53380,3.35
clean_8ID4,0.50791,4.01
clean_8F7R,0.54981,3.12
clean_8E9X,0.56209,2.49
clean_7XXH,0.54047,3.18
clean_7D7M,0.55192,3.15
clean_8JEF,0.52699,3.14
clean_7UM7,0.53861,2.55
clean_7F6I,0.55180,3.17
clean_7SK6,0.53350,3.19
clean_8JSR,0.53425,2.97
clean_8XQI,0.55063,2.65
clean_8DPF,0.54335,2.71
clean_7F1Q,0.54118,3.25
Q9NSD7,0.57460,3.78
O00144,0.52702,3.55
Q99680,0.58047,4.19
Q969N4,0.59821,2.89
O95800,0.57651,4.00
Q9BZJ6,0.59501,3.34
Q15761,0.63285,4.40
Q9NYM4,0.58020,2.87
O15354,0.57045,3.32
Q9NPG1,0.52567,3.79
Q15760,0.57454,3.32
Q9UBY5,0.57185,3.06
Q9Y5X5,0.59065,2.82
P34995,0.55551,3.95
