Protein_ID,Vina_Score_kcal,Pose_File
clean_7YXA,NA,NA
clean_5TUD,NA,NA
clean_5WIV,NA,NA
clean_6RZ5,NA,NA
clean_7RAN,-6.485,vina_results/clean_7RAN_poses.pdbqt
clean_8E9Z,-7.142,vina_results/clean_8E9Z_poses.pdbqt
clean_4IAR,-7.032,vina_results/clean_4IAR_poses.pdbqt
clean_7BR3,-7.313,vina_results/clean_7BR3_poses.pdbqt
clean_3VW7,-7.57,vina_results/clean_3VW7_poses.pdbqt
clean_4IAQ,-7.05,vina_results/clean_4IAQ_poses.pdbqt
clean_7ZLY,-6.69,vina_results/clean_7ZLY_poses.pdbqt
P34995,-7.335,vina_results/P34995_poses.pdbqt
clean_4Z35,-6.995,vina_results/clean_4Z35_poses.pdbqt
clean_7SUS,-7.096,vina_results/clean_7SUS_poses.pdbqt
clean_7EIB,-6.697,vina_results/clean_7EIB_poses.pdbqt
clean_4IB4,-7.221,vina_results/clean_4IB4_poses.pdbqt
clean_5TVN,-7.005,vina_results/clean_5TVN_poses.pdbqt
clean_9BHM,-6.598,vina_results/clean_9BHM_poses.pdbqt
clean_4Z36,-7.099,vina_results/clean_4Z36_poses.pdbqt
clean_7SK9,-6.991,vina_results/clean_7SK9_poses.pdbqt
P49682,-6.845,vina_results/P49682_poses.pdbqt
Q9NYM4,-7.121,vina_results/Q9NYM4_poses.pdbqt
clean_7F1Z,NA,NA
clean_4XT1,-6.639,vina_results/clean_4XT1_poses.pdbqt
clean_7SK8,-6.751,vina_results/clean_7SK8_poses.pdbqt
clean_4Z34,-6.709,vina_results/clean_4Z34_poses.pdbqt
clean_6D27,-7.408,vina_results/clean_6D27_poses.pdbqt
clean_4NC3,-7.352,vina_results/clean_4NC3_poses.pdbqt
clean_6D26,-7.651,vina_results/clean_6D26_poses.pdbqt
clean_6RZ4,-7.423,vina_results/clean_6RZ4_poses.pdbqt
clean_7CX2,-6.688,vina_results/clean_7CX2_poses.pdbqt
clean_8UWL,-6.808,vina_results/clean_8UWL_poses.pdbqt
clean_8XQI,-7.415,vina_results/clean_8XQI_poses.pdbqt
clean_8ZH8,-6.382,vina_results/clean_8ZH8_poses.pdbqt
clean_7F1R,-6.756,vina_results/clean_7F1R_poses.pdbqt
clean_7W41,-7.658,vina_results/clean_7W41_poses.pdbqt
clean_7UM6,-5.757,vina_results/clean_7UM6_poses.pdbqt
clean_6DRY,-7.163,vina_results/clean_6DRY_poses.pdbqt
clean_7CX4,-6.459,vina_results/clean_7CX4_poses.pdbqt
clean_8IKL,-6.261,vina_results/clean_8IKL_poses.pdbqt
clean_7ZL9,-6.7,vina_results/clean_7ZL9_poses.pdbqt
clean_7UM5,-5.936,vina_results/clean_7UM5_poses.pdbqt
clean_3V2Y,-7.139,vina_results/clean_3V2Y_poses.pdbqt
clean_5WIU,NA,NA
clean_6WHA,-5.863,vina_results/clean_6WHA_poses.pdbqt
clean_4MBS,-7.742,vina_results/clean_4MBS_poses.pdbqt
clean_6WGT,-7.678,vina_results/clean_6WGT_poses.pdbqt
clean_7S8O,-5.989,vina_results/clean_7S8O_poses.pdbqt
clean_8JD6,-6.626,vina_results/clean_8JD6_poses.pdbqt
clean_8DPF,-6.912,vina_results/clean_8DPF_poses.pdbqt
